year,match_id,match_date,stage,group_stage,knockout_stage,home_team,away_team,home_score,away_score,total_goals,stadium_name,city_name,country_name,host_country,is_host_match,extra_time,penalty_shootout,attendance,is_partial_edition
2022,M-2022-41,2022-12-01,Group Stage,1,0,Canada,Morocco,1,2,3,Al Thumama Stadium,Doha,Qatar,Qatar,0,0,0,43102.0,0
2022,M-2022-42,2022-12-01,Group Stage,1,0,Croatia,Belgium,0,0,0,Ahmad bin Ali Stadium,Al Rayyan,Qatar,Qatar,0,0,0,43984.0,0
2022,M-2022-43,2022-12-01,Group Stage,1,0,Costa Rica,Germany,2,4,6,Al Bayt Stadium,Al Khor,Qatar,Qatar,0,0,0,67054.0,0
2022,M-2022-44,2022-12-01,Group Stage,1,0,Japan,Spain,2,1,3,Khalifa International Stadium,Al Rayyan,Qatar,Qatar,0,0,0,44851.0,0
2022,M-2022-45,2022-12-02,Group Stage,1,0,Ghana,Uruguay,0,2,2,Al Janoub Stadium,Al Wakrah,Qatar,Qatar,0,0,0,43443.0,0
2022,M-2022-46,2022-12-02,Group Stage,1,0,South Korea,Portugal,2,1,3,Education City Stadium,Al Rayyan,Qatar,Qatar,0,0,0,44097.0,0
2022,M-2022-47,2022-12-02,Group Stage,1,0,Cameroon,Brazil,1,0,1,Lusail Stadium,Lusail,Qatar,Qatar,0,0,0,85986.0,0
2022,M-2022-48,2022-12-02,Group Stage,1,0,Serbia,Switzerland,2,3,5,Stadium 974,Doha,Qatar,Qatar,0,0,0,41378.0,0
2022,M-2022-49,2022-12-03,Round Of 16,0,1,Netherlands,United States,3,1,4,Khalifa International Stadium,Al Rayyan,Qatar,Qatar,0,0,0,44846.0,0
2022,M-2022-50,2022-12-03,Round Of 16,0,1,Argentina,Australia,2,1,3,Ahmad bin Ali Stadium,Al Rayyan,Qatar,Qatar,0,0,0,45032.0,0
2022,M-2022-51,2022-12-04,Round Of 16,0,1,France,Poland,3,1,4,Al Thumama Stadium,Doha,Qatar,Qatar,0,0,0,40989.0,0
2022,M-2022-52,2022-12-04,Round Of 16,0,1,England,Senegal,3,0,3,Al Bayt Stadium,Al Khor,Qatar,Qatar,0,0,0,65985.0,0
2022,M-2022-53,2022-12-05,Round Of 16,0,1,Japan,Croatia,1,1,2,Al Janoub Stadium,Al Wakrah,Qatar,Qatar,0,1,1,42523.0,0
2022,M-2022-54,2022-12-05,Round Of 16,0,1,Brazil,South Korea,4,1,5,Stadium 974,Doha,Qatar,Qatar,0,0,0,43847.0,0
2022,M-2022-55,2022-12-06,Round Of 16,0,1,Morocco,Spain,0,0,0,Education City Stadium,Al Rayyan,Qatar,Qatar,0,1,1,44667.0,0
2022,M-2022-56,2022-12-06,Round Of 16,0,1,Portugal,Switzerland,6,1,7,Lusail Stadium,Lusail,Qatar,Qatar,0,0,0,83720.0,0
2022,M-2022-57,2022-12-09,Quarter-Finals,0,1,Croatia,Brazil,1,1,2,Education City Stadium,Al Rayyan,Qatar,Qatar,0,1,1,43893.0,0
2022,M-2022-58,2022-12-09,Quarter-Finals,0,1,Netherlands,Argentina,2,2,4,Lusail Stadium,Lusail,Qatar,Qatar,0,1,1,88235.0,0
2022,M-2022-59,2022-12-10,Quarter-Finals,0,1,Morocco,Portugal,1,0,1,Al Thumama Stadium,Doha,Qatar,Qatar,0,0,0,44198.0,0
2022,M-2022-60,2022-12-10,Quarter-Finals,0,1,England,France,1,2,3,Al Bayt Stadium,Al Khor,Qatar,Qatar,0,0,0,68895.0,0
2022,M-2022-61,2022-12-13,Semi-Finals,0,1,Argentina,Croatia,3,0,3,Lusail Stadium,Lusail,Qatar,Qatar,0,0,0,88966.0,0
2022,M-2022-62,2022-12-14,Semi-Finals,0,1,France,Morocco,2,0,2,Al Bayt Stadium,Al Khor,Qatar,Qatar,0,0,0,68294.0,0
2022,M-2022-63,2022-12-17,Third-Place Match,0,1,Croatia,Morocco,2,1,3,Khalifa International Stadium,Al Rayyan,Qatar,Qatar,0,0,0,44137.0,0
2022,M-2022-64,2022-12-18,Final,0,1,Argentina,France,3,3,6,Lusail Stadium,Lusail,Qatar,Qatar,0,1,1,88966.0,0
2026,M-2026-001,2026-06-11,Group Stage,1,0,Mexico,South Africa,2,0,2,,,,United States / Canada / Mexico,1,,0,,1
2026,M-2026-002,2026-06-11,Group Stage,1,0,South Korea,Czechia,2,1,3,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-003,2026-06-12,Group Stage,1,0,Canada,Bosnia and Herzegovina,1,1,2,,,,United States / Canada / Mexico,1,,0,,1
2026,M-2026-004,2026-06-12,Group Stage,1,0,United States,Paraguay,4,1,5,,,,United States / Canada / Mexico,1,,0,,1
2026,M-2026-005,2026-06-13,Group Stage,1,0,Switzerland,Qatar,1,1,2,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-006,2026-06-13,Group Stage,1,0,Brazil,Morocco,1,1,2,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-007,2026-06-13,Group Stage,1,0,Scotland,Haiti,1,0,1,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-008,2026-06-13,Group Stage,1,0,Australia,Turkiye,2,0,2,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-009,2026-06-14,Group Stage,1,0,Germany,Curacao,7,1,8,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-010,2026-06-14,Group Stage,1,0,Ivory Coast,Ecuador,1,0,1,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-011,2026-06-14,Group Stage,1,0,Netherlands,Japan,2,2,4,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-012,2026-06-14,Group Stage,1,0,Sweden,Tunisia,5,1,6,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-013,2026-06-15,Group Stage,1,0,Belgium,Egypt,1,1,2,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-014,2026-06-15,Group Stage,1,0,Iran,New Zealand,2,2,4,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-015,2026-06-15,Group Stage,1,0,Spain,Cape Verde,0,0,0,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-016,2026-06-15,Group Stage,1,0,Saudi Arabia,Uruguay,1,1,2,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-017,2026-06-16,Group Stage,1,0,France,Senegal,3,1,4,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-018,2026-06-16,Group Stage,1,0,Norway,Iraq,4,1,5,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-019,2026-06-16,Group Stage,1,0,Argentina,Algeria,3,0,3,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-020,2026-06-16,Group Stage,1,0,Austria,Jordan,3,1,4,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-021,2026-06-17,Group Stage,1,0,Portugal,DR Congo,1,1,2,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-022,2026-06-17,Group Stage,1,0,Colombia,Uzbekistan,3,1,4,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-023,2026-06-17,Group Stage,1,0,England,Croatia,4,2,6,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-024,2026-06-17,Group Stage,1,0,Ghana,Panama,1,0,1,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-025,2026-06-18,Group Stage,1,0,Czechia,South Africa,1,1,2,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-026,2026-06-18,Group Stage,1,0,Mexico,South Korea,1,0,1,,,,United States / Canada / Mexico,1,,0,,1
2026,M-2026-027,2026-06-18,Group Stage,1,0,Switzerland,Bosnia and Herzegovina,4,1,5,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-028,2026-06-18,Group Stage,1,0,Canada,Qatar,6,0,6,,,,United States / Canada / Mexico,1,,0,,1
2026,M-2026-029,2026-06-19,Group Stage,1,0,Morocco,Scotland,1,0,1,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-030,2026-06-19,Group Stage,1,0,Brazil,Haiti,3,0,3,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-031,2026-06-19,Group Stage,1,0,United States,Australia,2,0,2,,,,United States / Canada / Mexico,1,,0,,1
2026,M-2026-032,2026-06-19,Group Stage,1,0,Paraguay,Turkiye,1,0,1,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-033,2026-06-20,Group Stage,1,0,Germany,Ivory Coast,2,1,3,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-034,2026-06-20,Group Stage,1,0,Ecuador,Curacao,0,0,0,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-035,2026-06-20,Group Stage,1,0,Netherlands,Sweden,5,1,6,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-036,2026-06-20,Group Stage,1,0,Japan,Tunisia,4,0,4,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-037,2026-06-21,Group Stage,1,0,Belgium,Iran,0,0,0,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-038,2026-06-21,Group Stage,1,0,Egypt,New Zealand,3,1,4,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-039,2026-06-21,Group Stage,1,0,Spain,Saudi Arabia,4,0,4,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-040,2026-06-21,Group Stage,1,0,Uruguay,Cape Verde,2,2,4,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-041,2026-06-22,Group Stage,1,0,France,Iraq,3,0,3,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-042,2026-06-22,Group Stage,1,0,Norway,Senegal,3,2,5,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-043,2026-06-22,Group Stage,1,0,Argentina,Austria,2,0,2,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-044,2026-06-22,Group Stage,1,0,Algeria,Jordan,2,1,3,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-045,2026-06-23,Group Stage,1,0,Portugal,Uzbekistan,5,0,5,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-046,2026-06-23,Group Stage,1,0,Colombia,DR Congo,1,0,1,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-047,2026-06-23,Group Stage,1,0,England,Ghana,0,0,0,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-048,2026-06-23,Group Stage,1,0,Croatia,Panama,1,0,1,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-049,2026-06-24,Group Stage,1,0,Mexico,Czechia,3,0,3,,,,United States / Canada / Mexico,1,,0,,1
2026,M-2026-050,2026-06-24,Group Stage,1,0,South Africa,South Korea,1,0,1,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-051,2026-06-24,Group Stage,1,0,Switzerland,Canada,2,1,3,,,,United States / Canada / Mexico,1,,0,,1
2026,M-2026-052,2026-06-24,Group Stage,1,0,Bosnia and Herzegovina,Qatar,3,1,4,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-053,2026-06-24,Group Stage,1,0,Brazil,Scotland,3,0,3,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-054,2026-06-24,Group Stage,1,0,Morocco,Haiti,4,2,6,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-055,2026-06-25,Group Stage,1,0,Turkiye,United States,3,2,5,,,,United States / Canada / Mexico,1,,0,,1
2026,M-2026-056,2026-06-25,Group Stage,1,0,Paraguay,Australia,0,0,0,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-057,2026-06-25,Group Stage,1,0,Ecuador,Germany,2,1,3,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-058,2026-06-25,Group Stage,1,0,Ivory Coast,Curacao,2,0,2,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-059,2026-06-25,Group Stage,1,0,Japan,Sweden,1,1,2,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-060,2026-06-25,Group Stage,1,0,Netherlands,Tunisia,3,1,4,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-061,2026-06-26,Group Stage,1,0,Egypt,Iran,1,1,2,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-062,2026-06-26,Group Stage,1,0,Belgium,New Zealand,5,1,6,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-063,2026-06-26,Group Stage,1,0,Cape Verde,Saudi Arabia,0,0,0,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-064,2026-06-26,Group Stage,1,0,Spain,Uruguay,1,0,1,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-065,2026-06-26,Group Stage,1,0,France,Norway,4,1,5,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-066,2026-06-26,Group Stage,1,0,Senegal,Iraq,5,0,5,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-067,2026-06-27,Group Stage,1,0,Algeria,Austria,3,3,6,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-068,2026-06-27,Group Stage,1,0,Argentina,Jordan,3,1,4,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-069,2026-06-27,Group Stage,1,0,Colombia,Portugal,0,0,0,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-070,2026-06-27,Group Stage,1,0,DR Congo,Uzbekistan,3,1,4,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-071,2026-06-27,Group Stage,1,0,Croatia,Ghana,2,1,3,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-072,2026-06-27,Group Stage,1,0,England,Panama,2,0,2,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-073,2026-06-28,Round Of 32,0,1,Canada,South Africa,1,0,1,,,,United States / Canada / Mexico,1,,0,,1
2026,M-2026-074,2026-06-29,Round Of 32,0,1,Brazil,Japan,2,1,3,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-075,2026-06-29,Round Of 32,0,1,Paraguay,Germany,1,1,2,,,,United States / Canada / Mexico,0,,1,,1
2026,M-2026-076,2026-06-29,Round Of 32,0,1,Morocco,Netherlands,1,1,2,,,,United States / Canada / Mexico,0,,1,,1
2026,M-2026-077,2026-06-30,Round Of 32,0,1,Norway,Ivory Coast,2,1,3,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-078,2026-06-30,Round Of 32,0,1,France,Sweden,3,0,3,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-079,2026-06-30,Round Of 32,0,1,Mexico,Ecuador,2,0,2,,,,United States / Canada / Mexico,1,,0,,1
2026,M-2026-080,2026-07-01,Round Of 32,0,1,England,DR Congo,2,1,3,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-081,2026-07-01,Round Of 32,0,1,Belgium,Senegal,3,2,5,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-082,2026-07-01,Round Of 32,0,1,United States,Bosnia and Herzegovina,2,0,2,,,,United States / Canada / Mexico,1,,0,,1
2026,M-2026-083,2026-07-02,Round Of 32,0,1,Spain,Austria,3,0,3,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-084,2026-07-02,Round Of 32,0,1,Portugal,Croatia,2,1,3,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-085,2026-07-02,Round Of 32,0,1,Switzerland,Algeria,2,0,2,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-086,2026-07-03,Round Of 32,0,1,Egypt,Australia,1,1,2,,,,United States / Canada / Mexico,0,,1,,1
2026,M-2026-087,2026-07-03,Round Of 32,0,1,Argentina,Cape Verde,3,2,5,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-088,2026-07-03,Round Of 32,0,1,Colombia,Ghana,1,0,1,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-089,2026-07-04,Round Of 16,0,1,Morocco,Canada,3,0,3,,,,United States / Canada / Mexico,1,,0,,1
2026,M-2026-090,2026-07-04,Round Of 16,0,1,France,Paraguay,1,0,1,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-091,2026-07-05,Round Of 16,0,1,Norway,Brazil,2,1,3,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-092,2026-07-05,Round Of 16,0,1,England,Mexico,3,2,5,,,,United States / Canada / Mexico,1,,0,,1
2026,M-2026-093,2026-07-06,Round Of 16,0,1,Spain,Portugal,1,0,1,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-094,2026-07-06,Round Of 16,0,1,Belgium,United States,4,1,5,,,,United States / Canada / Mexico,1,,0,,1
2026,M-2026-095,2026-07-07,Round Of 16,0,1,Argentina,Egypt,3,2,5,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-096,2026-07-07,Round Of 16,0,1,Switzerland,Colombia,0,0,0,,,,United States / Canada / Mexico,0,,1,,1
2026,M-2026-097,2026-07-09,Quarter-Finals,0,1,France,Morocco,2,0,2,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-098,2026-07-10,Quarter-Finals,0,1,Spain,Belgium,2,1,3,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-099,2026-07-11,Quarter-Finals,0,1,England,Norway,2,1,3,,,,United States / Canada / Mexico,0,,0,,1
2026,M-2026-100,2026-07-11,Quarter-Finals,0,1,Argentina,Switzerland,3,1,4,,,,United States / Canada / Mexico,0,,0,,1
